Zeit [m.ss];Höhe;CAS;R
0;0;27;
4;900;27;
4;900;50;
6;900;50;
6;900;27;
8;0;27;
8;0;0;
8.5;0;0;
8.5;0;27;
12.5;900;27;
12.5;900;50;
14.5;900;50;
14.5;900;27;
16.5;0;27;
16.5;0;0;
17;0;0;
17;0;27;
21;900;27;
21;900;50;
23;900;50;
23;900;27;
25;0;27;
25;0;0;
25.5;0;0;
25.5;0;27;
29.5;900;27;
29.5;900;50;
31.5;900;50;
31.5;900;27;
33.5;0;27;
33.5;0;0;
34;0;0;
34;0;27;
38;900;27;
38;900;50;
40;900;50;
40;900;27;
42;0;27;
42;0;0;
42.5;0;0;
42.5;0;27;
46.5;900;27;
46.5;900;50;
48.5;900;50;
48.5;900;27;
50.5;0;27;
50.5;0;0;
51;0;0;
51;0;27;
55;900;27;
55;900;50;
57;900;50;
57;900;27;
59;0;27;
59;0;0;
59.5;0;0;
59.5;0;27;
63.5;900;27;
63.5;900;50;
65.5;900;50;
65.5;900;27;
67.5;0;27;
67.5;0;0;
68;0;0;
68;0;27;
72;900;27;
72;900;50;
74;900;50;
74;900;27;
76;0;27;
76;0;0;
76.5;0;0;
