TravelDistance(km);TravelSpeed(m/s);TotalDistance(km);FlightTime;CONV:TakeOffMass(kg);CONV:NeededFuel(l);CONV:Costs(Euro);SERI:TakeOffMass(kg);SERI:NeededFuel(l);SERI:NeededElectricity(Wh);SERI:Costs(Euro);SERI:HybDeg;PARA:TakeOffMass(kg);PARA:NeededFuel(l);PARA:NeededElectricity(Wh);PARA:Costs(Euro);PARA:HybDeg
0.0;20.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;25.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;30.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;35.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;40.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;45.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;50.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;55.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;60.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;65.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;70.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
0.0;75.0;18.495661510531338;0:09:10;748.2868773588146;1.6936557930612253;18.314087247940453;795.107745229;0.0;5073.40594222;8.229074595679469;1.0;798.181956319;0.0;5101.9399366;8.27535679169136;1.0
20.0;20.0;39.49064096135343;0:25:50;749.20634354691;2.6984269098987475;13.666159090907128;807.586104345;0.0;8638.03123807;6.562084859440547;1.0;811.138717491;0.0;8711.61767445;6.617986537348495;1.0
20.0;25.0;39.49064096135343;0:22:30;748.9715441075263;2.441186535891726;12.363367504116912;807.133659217;0.0;7635.11314219;5.800194392637427;1.0;810.53910644;0.0;7686.3306108;5.839102954790258;1.0
20.0;30.0;39.46964598190261;0:20:16;748.9102119639291;2.37398978368113;12.029445537817278;806.875244656;0.0;7393.60317698;5.619713321246969;1.0;810.157805084;0.0;7436.27606663;5.652148035510355;1.0
20.0;35.0;39.474894726765314;0:18:41;748.9330056011291;2.399023044496213;12.154677351778188;806.978052322;0.0;7476.50309535;5.681968106894542;1.0;810.29860991;0.0;7515.48192829;5.711591111497696;1.0
20.0;40.0;39.49064096135343;0:17:30;748.9810923355367;2.4516745159180573;12.416483785701681;807.176338645;0.0;7687.03730128;5.839639808938075;1.0;810.581211569;0.0;7719.31812977;5.864162704265292;1.0
20.0;45.0;39.46964598190261;0:16:34;749.0643344706405;2.542975555869513;12.88572771610621;807.395512704;0.0;8086.17923449;6.14612497781026;1.0;810.909460321;0.0;8125.32847219;6.175881442601926;1.0
20.0;50.0;39.49064096135343;0:15:50;749.1927745728067;2.6839486515926487;13.592834080455829;807.543348564;0.0;8511.93876238;6.466295726151929;1.0;811.087472663;0.0;8549.02670472;6.4944704592814535;1.0
20.0;55.0;39.45389974731449;0:15:13;749.3984307484667;2.9094341443730323;14.748525053324133;807.821065067;0.0;9129.94771009;6.942239754673262;1.0;811.323831356;0.0;9167.63998493;6.970900248374571;1.0
20.0;60.0;39.46964598190261;0:14:43;749.6793618419937;3.2174668796675783;16.303500067585265;808.341152078;0.0;9777.83109049;7.431911926679004;1.0;811.742829751;0.0;9812.06060933;7.457929022592932;1.0
20.0;65.0;39.44340225758908;0:14:17;750.0314011553537;3.596509951686585;18.23630694025438;810.369467929;0.0;10446.747439;7.945623481546906;1.0;813.089507155;0.0;10471.640844;7.964556994054852;1.0
20.0;70.0;39.43815351272637;0:13:55;756.4741848222881;3.8379362479178476;19.463062573045548;813.410123328;0.0;11305.4166866;8.599857508251622;1.0;816.092514985;0.0;11328.9629304;8.617768775668644;1.0
20.0;75.0;39.43815351272637;0:13:36;769.6320728617537;3.9111530289099696;19.834361807268042;825.424127964;0.0;12222.7156442;9.297632791242998;1.0;825.4510696;0.0;12233.4566384;9.305803301200976;1.0
40.0;20.0;60.48562041217552;0:42:30;750.1256955430422;3.7060364249908466;12.254272667573849;817.035420808;0.0;12368.8025625;6.134748628622916;1.0;820.066815668;0.0;12476.4850098;6.18815757767537;1.0
40.0;25.0;60.485620412175514;0:35:50;749.6546784242391;3.189913911446638;10.547676917948984;809.398710037;0.0;10155.1569998;5.036812186399831;1.0;812.149618784;0.0;10214.463406;5.066227313067555;1.0
40.0;30.0;60.475122922450105;0:31:23;749.5317101168579;3.055115046776185;10.103708431296264;808.211313222;0.0;9653.76522395;4.788960199219162;1.0;811.65007102;0.0;9709.69499715;4.816705379632464;1.0
40.0;35.0;60.454127942999285;0:28:12;749.5658669767405;3.092682448738136;10.231501318335617;808.333981447;0.0;9776.22143601;4.851391510548837;1.0;811.746005183;0.0;9823.83375514;4.8750188396081;1.0
40.0;40.0;60.48562041217552;0:25:50;749.6729511932688;3.210040843361488;10.614228047879358;809.727002297;0.0;10246.8821216;5.082306530927477;1.0;812.368424424;0.0;10271.2650071;5.094400092339518;1.0
40.0;45.0;60.44363045327387;0:23:58;749.8222779846632;3.373629213195727;11.162894048211486;812.370703968;0.0;11000.513107;5.4598870176257766;1.0;815.101118458;0.0;11038.7158264;5.478848181497062;1.0
40.0;50.0;60.485620412175514;0:22:30;750.100594261197;3.6719449962377744;12.141546936992736;815.600674825;0.0;11939.1999067;5.921671874409683;1.0;818.390821194;0.0;11976.6709856;5.940256991985394;1.0
40.0;55.0;60.4698741775874;0:21:17;750.4817572862446;4.087327472002168;13.518557885530042;819.461486434;0.0;13096.9480621;6.49758986944656;1.0;822.334471168;0.0;13131.6190393;6.514790654633335;1.0
40.0;60.0;60.44363045327387;0:20:16;751.0326443310087;4.6875133136190925;15.51036322096102;823.585949051;0.0;14382.9549026;7.138695075762592;1.0;826.577966539;0.0;14421.7851745;7.157967712900107;1.0
40.0;65.0;60.45937668786199;0:19:25;751.7643689808685;5.48233621125155;18.135602818254657;828.064820668;0.0;15846.2726803;7.862935518890991;1.0;831.173773928;0.0;15880.0866716;7.879714053414052;1.0
40.0;70.0;60.454127942999285;0:18:41;758.17490773108;6.094926538521729;20.163805999380177;833.014075806;0.0;17544.620504;8.706413160343189;1.0;836.246968227;0.0;17566.3389207;8.717190794942672;1.0
40.0;75.0;60.45937668786199;0:18:03;771.4804008929399;6.364346879308566;21.0532996797709;840.758362411;0.0;19283.4649168;9.568473563508343;1.0;841.094068717;0.0;19295.9723743;9.574679775771116;1.0
60.0;20.0;81.48059986299761;0:59:10;751.05770090301;4.715439210243858;11.574385112953145;829.780854883;0.0;16427.4323659;6.0483473588269865;1.0;833.378449348;0.0;16606.3897714;6.114236934677275;1.0
60.0;25.0;81.48059986299761;0:49:10;750.3387197634688;3.9394768185814732;9.669729543487295;818.616486095;0.0;12847.910411;4.7304181974369195;1.0;821.624532579;0.0;12930.3074651;4.7607556228750765;1.0
60.0;30.0;81.4805998629976;0:42:30;750.1443988049006;3.7264881261601963;9.14693346005296;815.756644221;0.0;11989.2269282;4.414263130742345;1.0;818.620036805;0.0;12046.6579515;4.4354084181100975;1.0
60.0;35.0;81.4701023732722;0:37:44;750.1990812991035;3.786438616873056;9.295283807364575;816.373651444;0.0;12169.577342;4.4812429299189604;1.0;819.230353737;0.0;12222.044162;4.500562957194591;1.0
