TravelDistance(km);TravelSpeed(m/s);TotalDistance(km);FlightTime;CONV:TakeOffMass(kg);CONV:NeededFuel(l);CONV:Costs(Euro);SERI:TakeOffMass(kg);SERI:NeededFuel(l);SERI:NeededElectricity(Wh);SERI:Costs(Euro);SERI:HybDeg;PARA:TakeOffMass(kg);PARA:NeededFuel(l);PARA:NeededElectricity(Wh);PARA:Costs(Euro);PARA:HybDeg
0.0;20.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;25.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;30.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;35.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;40.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;45.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;50.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;55.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;60.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;65.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;70.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
0.0;75.0;18.495661510531338;0:09:10;748.2881490846822;1.695102206367513;18.329727816464743;795.1094317;0.0;5076.15471993;8.233533118628381;1.0;798.18342384;0.0;5104.69224521;8.279821041767141;1.0
20.0;20.0;39.49064096135343;0:25:50;749.2080126172681;2.7002785052671547;13.675536479186134;807.587619156;0.0;8642.39853681;6.565402581285787;1.0;811.14014427;0.0;8716.01246769;6.621325146041349;1.0
20.0;25.0;39.49064096135343;0:22:30;748.9733301772676;2.4431941304378597;12.373534948844377;807.137800803;0.0;7639.94637122;5.803866069454268;1.0;810.54493494;0.0;7691.20068722;5.84280262359895;1.0
20.0;30.0;39.46964598190261;0:20:16;748.9122143878303;2.376161239848443;12.04044870804236;806.882630657;0.0;7399.22768359;5.62398838361711;1.0;810.168433596;0.0;7441.94355823;5.656455769815293;1.0
20.0;35.0;39.474894726765314;0:18:41;748.9352601375405;2.401530650677008;12.167382166816465;806.985552397;0.0;7483.05778478;5.686949518099335;1.0;810.309348921;0.0;7522.03324813;5.716569961892621;1.0
20.0;40.0;39.49064096135343;0:17:30;748.9835008300818;2.45438739961052;12.430223161039333;807.182087278;0.0;7694.6125698;5.8453945409471695;1.0;810.589784431;0.0;7726.88558809;5.869911503071119;1.0
20.0;45.0;39.46964598190261;0:16:34;749.0670481363987;2.545970723921073;12.90090478687565;807.398933288;0.0;8094.91050714;6.1527614239445905;1.0;810.914248895;0.0;8134.12867752;6.182570282933077;1.0
