TravelDistance(km);TravelSpeed(m/s);TotalDistance(km);FlightTime;CONV:TakeOffMass(kg);CONV:NeededFuel(l);CONV:Costs(Euro);SERI:TakeOffMass(kg);SERI:NeededFuel(l);SERI:NeededElectricity(Wh);SERI:Costs(Euro);SERI:HybDeg;PARA:TakeOffMass(kg);PARA:NeededFuel(l);PARA:NeededElectricity(Wh);PARA:Costs(Euro);PARA:HybDeg
0.0;20.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;25.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;30.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;35.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;40.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;45.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;50.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;55.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;60.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;65.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;70.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
0.0;75.0;18.495661510531338;0:09:10;748.1767603491447;1.5733751695761384;77.19853467135208;795.1094317;0.0;5076.15471993;27.44511039542794;1.0;798.18342384;0.0;5104.69224521;27.59940347255714;1.0
50.0;20.0;70.98311013758656;0:50:50;750.3176420647977;3.915983812253671;50.06480136939565;823.483548032;0.0;14371.4015582;20.246226926861773;1.0;826.892325409;0.0;14515.5513564;20.449303120509242;1.0
50.0;25.0;70.98311013758656;0:42:30;749.7691897435078;3.31480750847777;42.378923776554814;814.078276075;0.0;11498.975808;16.199594221373978;1.0;816.951438873;0.0;11569.5048833;16.298954583526744;1.0
50.0;30.0;70.96211515813575;0:36:56;749.6219794349481;3.1534180627968453;40.32753090308699;811.742002232;0.0;10821.6547928;15.249904500006025;1.0;814.506898729;0.0;10873.552653;15.323039101594985;1.0
50.0;35.0;70.96211515813575;0:32:58;749.6588865790176;3.194029457381627;40.84689028948013;812.222125508;0.0;10958.3364406;15.442516638885216;1.0;814.973144266;0.0;11003.8524324;15.506657894678636;1.0
50.0;40.0;70.98311013758656;0:30:00;749.7918009733769;3.339597559518097;42.69585792152945;814.335295832;0.0;11565.9616916;16.293962985253387;1.0;817.09867648;0.0;11606.1671983;16.35060393353259;1.0
50.0;45.0;70.97786139272387;0:27:41;749.9781543725477;3.543831998287866;45.310290777173535;817.73653656;0.0;12575.5284352;17.717536409865897;1.0;820.596607021;0.0;12619.2291539;17.77910591596612;1.0
50.0;50.0;70.98311013758656;0:25:50;750.2857617509536;3.8810779732340657;49.61853959178556;821.406825595;0.0;13697.1301755;19.296322954785797;1.0;824.356822155;0.0;13741.053182;19.358201064120347;1.0
50.0;55.0;70.97786139272387;0:24:19;750.7307173366924;4.3588380688608295;55.73069503467325;825.858481843;0.0;15117.9138983;21.29947789586371;1.0;828.928735793;0.0;15161.3245404;21.36063871593943;1.0
50.0;60.0;70.96211515813575;0:23:03;751.3915310321838;5.078801500855661;64.95032387007552;830.828773884;0.0;16789.5046657;23.659814294268674;1.0;834.06334552;0.0;16836.2127259;23.725635415998088;1.0
50.0;65.0;70.96736390299844;0:21:59;752.2118305408417;5.971786515514698;76.36462684787159;835.623016615;0.0;18494.3803286;26.06040200940674;1.0;838.986237931;0.0;18528.9482544;26.10911161886504;1.0
50.0;70.0;70.96211515813575;0:21:04;758.8990340958627;6.871541181562709;87.87680029508273;841.126697953;0.0;20582.7671821;29.005289845479197;1.0;844.720243578;0.0;20608.916862;29.042140043421757;1.0
50.0;75.0;70.93062268895952;0:20:16;772.522151512684;7.517660870723375;96.18239600261346;850.531099477;0.0;22746.538441;32.06871387658147;1.0;852.742050952;0.0;22764.228453;32.09365375632505;1.0
100.0;20.0;123.47055876464178;1:32:30;752.4944457759508;6.281815551735083;46.17090641070386;865.828194019;0.0;26189.7178699;21.21130586265715;1.0;872.012975375;0.0;27054.0906507;21.91136973978567;1.0
100.0;25.0;123.47055876464178;1:15:50;751.3786050653712;5.065429806787658;37.23055597749676;835.618048022;0.0;18488.3597397;14.973901409924215;1.0;839.30214091;0.0;18637.5393399;15.094723411292462;1.0
